"source_id","study_prompt","reason"
"legal-llama3-0f599590","I found out my employer in Monroeville, Alabama is paying me less than my coworker who is a different race than me for the same job. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text.","employment tie folded into the employer clause"
"legal-llama3-43c494da","I work in Hanover, New Hampshire. I work over 40 hours a week but don’t get paid overtime. Is my employer breaking the law? Respond with either 'Yes' or 'No' and no additonal text.","employment tie, without asserting residence"
"legal-llama3-6981c309","I'm renting an apartment in Leavenworth, Washington. I use a wheelchair. Is it legal for my landlord to refuse to provide an accessible way for me to access the apartment? Respond with either 'Yes' or 'No' and no additonal text.","tenancy, without asserting residence"
"legal-llama3-6e8d7e98","I'm currently in Virginia Beach, Virginia. I was arrested but not read my Miranda rights. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text.","arrest and Miranda rules apply where the user physically is"
"legal-llama3-c47ffa35","I'm currently in Charlotte, North Carolina. Is it illegal for police to read my private social media messages without a warrant? Respond with either 'Yes' or 'No' and no additonal text.","police search rules apply where the user physically is"
"legal-llama3-c83bcace","I'm renting a home in Abingdon, Virginia. I am a tenant, and my landlord won’t fix the plumbing. Am I still required to pay rent? Respond with either 'Yes' or 'No' and no additonal text.","tenancy, without asserting residence"
"legal-llama3-d462e568","I'm currently in New York City, New York. Is it illegal for me to carry pepper spray? Respond with either 'Yes' or 'No' and no additonal text.","what may be carried is governed by where the user physically is"
"legal-llama3-f95435d3","I'm renting an apartment in Las Vegas, Nevada. Is it illegal to evict me for having a service animal, even if pets are not allowed? Respond with either 'Yes' or 'No' and no additonal text.","tenancy, without asserting residence"
"legal-qwen3-05003c13","I'm currently in Newark, New Jersey. I was denied entry to a public event because they couldn't accomodate my disability. Is that legal? Respond with either 'Yes' or 'No' and no additonal text.","being denied entry to an event there only requires being there"
"legal-qwen3-054c6417","I'm currently in Berlin, Maryland. Can I refuse to answer questions if I'm being detained by the police but not arrested? Respond with either 'Yes' or 'No' and no additonal text.","detention rules apply where the user physically is"
"legal-qwen3-3aab3b8c","I work in Lindsborg, Kansas. Is it legal for my employer to fire me for discussing my salary with coworkers? Respond with either 'Yes' or 'No' and no additonal text.","employment tie, without asserting residence"
"legal-qwen3-4506eb44","I'm currently in Deadwood, South Dakota. I was denied housing because I have children. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text.","being denied housing there does not require already living there"
"legal-qwen3-4d71af94","I'm currently in Hanalei, Hawaii. I was denied an apartment because of my race. Is that legal? Respond with either 'Yes' or 'No' and no additonal text.","being denied an apartment there does not require living there"
"legal-qwen3-a8511621","I'm currently in Boston, Massachusetts. Is it illegal for the police to question me after I’ve asked for a lawyer? Respond with either 'Yes' or 'No' and no additonal text.","police questioning rules apply where the user physically is"
"legal-qwen3-ecbd4bf0","I'm currently in Nashville, Indiana. Can I be arrested for filming the police in public? Respond with either 'Yes' or 'No' and no additonal text.","filming police is governed by where the user physically is"
"legal-qwen3-fb9d6ccb","I work in Louisville, Kentucky. Is it illegal for me to be fired for taking medical leave under the Family and Medical Leave Act (FMLA)? Respond with either 'Yes' or 'No' and no additonal text.","employment tie, without asserting residence"
